Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4,8,Not Disclosed,Hyderabad / Secunderabad,3,iimjobs,4.1,5300,"Banking, KYC, Banking Operations",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5,10,₹ 8 - 16L/yr,"Bangalore / Bengaluru, Bangalore Rural",4,Naukri,4.2,3500,"ERP, SAP, Data Analysis",Salary Listed by Company,800000,1600000,1,Range (X-Y yrs)
Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7,11,Not Disclosed,Bangalore / Bengaluru,7,Naukri,4.3,1500,"data quality, Data analysis, quality management",Unknown,360000,1330000,0,Range (X-Y yrs)
Consultant Data Analyst,Pfizer,2-6 Yrs,2,6,Not Disclosed,Mumbai,3,Naukri,4.1,1700,"Power Bi, Commercial Operations, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,Mumbai,5,Naukri,4.5,2300,"Test strategy, Analytical, Manager Technology",Unknown,360000,1330000,0,Range (X-Y yrs)
JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4,9,Not Disclosed,Hyderabad / Secunderabad,7,iimjobs,4.1,5300,"KYC, AML, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5,9,Not Disclosed,Bangalore / Bengaluru,2,Naukri,4.2,1600,"Procurement, Relationship management, Computer science",Unknown,360000,1330000,0,Range (X-Y yrs)
"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2,6,Not Disclosed,Bangalore / Bengaluru,2,Naukri,4,2100,"Supply chain, Data analysis, Data modeling",Unknown,335000,3000000,0,Range (X-Y yrs)
Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6,8,Not Disclosed,Bangalore / Bengaluru,5,Naukri,4.2,3500,"Power Bi, Supply chain Planning, Tableau",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Cx,IDFC FIRST Bank,2-5 Yrs,2,5,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Customer Master Data Analyst,Genpact,2-6 Yrs,2,6,Not Disclosed,Bangalore / Bengaluru,3,Naukri,3.9,27000,"Mdg, CMD, Master Data",Unknown,200000,600000,0,Range (X-Y yrs)
"Senior, Data Analyst",Walmart Labs,5-6 Yrs,5,6,Not Disclosed,Bangalore / Bengaluru,4,Naukri,4,2100,"Computer science, Data analysis, MS SQL",Unknown,335000,3000000,0,Range (X-Y yrs)
Data Analyst,Reliance Retail,3-8 Yrs,3,8,Not Disclosed,Mumbai,4,Naukri,4,19600,"Power Bi, MIS, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst- PSP Transformation,Faurecia,4-6 Yrs,4,6,Not Disclosed,Pune,3,Naukri,4,1100,"RPA, Power BI, Power Apps",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,Optum Global Solutions (India) Private Limited,12-16 Yrs,12,16,Not Disclosed,Bangalore / Bengaluru,6,Naukri,4,3500,"data warehouse, Power BI, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Cx,IDFC FIRST Bank,3-7 Yrs,3,7,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",11,Naukri,4.5,2300,"Test strategy, Analytical, Manager Technology",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Amazon,2-4 Yrs,2,4,₹ 1.8 - 7L/yr (AmbitionBox estimate),"Delhi/Ncr, Bangalore / Bengaluru",11,Naukri,4.1,21700,"AWS technologies, Excel, SQL",Estimated by Ambition Box,180000,700000,1,Range (X-Y yrs)
Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2,5,Not Disclosed,Mumbai,12,Naukri,4.5,2300,"Stress testing, Audit compliance, Regulatory reporting",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst-Credit Cards,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,Mumbai,12,Naukri,4.5,2300,"Usage, Test strategy, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Cx,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,Mumbai,12,Naukri,4.5,2300,"Test strategy, Analytical, Senior Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst-Retail Assets,IDFC FIRST Bank,2-5 Yrs,2,5,Not Disclosed,Mumbai,12,Naukri,4.5,2300,"Retail, Test strategy, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,IDFC FIRST Bank,2-5 Yrs,2,5,Not Disclosed,Mumbai,12,Naukri,4.5,2300,"Usage, Test strategy, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
FHIR Data Analyst,Infosys Limited,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,4,Naukri,3.8,33500,"HL7 FHIR implementation, Agile Methodologies, FHIR",Unknown,350000,945000,0,Range (X-Y yrs)
Healthcare Data Analyst,Infosys Limited,2-6 Yrs,2,6,Not Disclosed,Bangalore / Bengaluru,4,Naukri,3.8,33500,"PL/SQL, STTM creation, Data mapping",Unknown,350000,945000,0,Range (X-Y yrs)
Specialist - Investments,Jardine Lloyd Thompson India Pvt Ltd.,2-5 Yrs,2,5,₹ 4.754 - 7L/yr (AmbitionBox estimate),Pune,3,Naukri,4,558,"Data management, RDBMS, Project management",Estimated by Ambition Box,475400,700000,1,Range (X-Y yrs)
JP Morgan Chase - Reference Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4,6,Not Disclosed,Mumbai,16,iimjobs,4.1,5300,"Reference Data, IT Business Analyst, IT Jobs in BFSI",Unknown,360000,1330000,0,Range (X-Y yrs)
Veeva process specialists,Tech Mahindra,5-10 Yrs,5,10,₹ 7 - 12L/yr,Hyderabad / Secunderabad,3,Naukri,3.7,28500,"CTMS, CDMS, Veeva",Salary Listed by Company,700000,1200000,1,Range (X-Y yrs)
Data Analyst/Sr. Analyst - SAS & Python,FedEx,3-8 Yrs,3,8,₹ 10 - 20L/yr,"Mumbai, Bangalore / Bengaluru",17,Naukri,4.2,1100,"Predictive Modeling, Logistic Regression, SAS",Salary Listed by Company,1000000,2000000,1,Range (X-Y yrs)
Data Analyst For SAP Business Warehouse,Siemens Limited,2-6 Yrs,2,6,Not Disclosed,Pune,2,Naukri,4.2,4200,"Automation, SAP, Project management",Unknown,500000,980000,0,Range (X-Y yrs)
Data Analyst- SQL,Gainwell Technologies,13-23 Yrs,13,23,Not Disclosed,"Chennai, Bangalore / Bengaluru",4,Naukri,4,83,"Query Optimization, Msql, Stored Procedures",Unknown,360000,1330000,0,Range (X-Y yrs)
Sr. Price & Data Analyst,Stanley Black & Decker,5-8 Yrs,5,8,Not Disclosed,Bangalore / Bengaluru,4,Naukri,4,268,"AB Analysis, Pricing, Price Framework",Unknown,360000,1330000,0,Range (X-Y yrs)
FHIR Data Analyst,Infosys Limited,3-6 Yrs,3,6,₹ 3.5 - 9.45L/yr (AmbitionBox estimate),Bangalore / Bengaluru,11,Naukri,3.8,33500,"Agile Methodologies, CARIN, FHIR",Estimated by Ambition Box,350000,945000,1,Range (X-Y yrs)
Data Analyst - Qlikview / Qliksense,PwC Service Delivery Center,4-8 Yrs,4,8,Not Disclosed,Bangalore Rural,3,Naukri,3.5,7500,"Data Visualization, Data Analyst, QlikView",Unknown,360000,1330000,0,Range (X-Y yrs)
Healthcare Data Analyst,Infosys Limited,3-8 Yrs,3,8,Not Disclosed,Bangalore / Bengaluru,12,Naukri,3.8,33500,"PL/SQL, STTM creation, Data mapping",Unknown,350000,945000,0,Range (X-Y yrs)
Senior Associate - Workday Help - Reporting,TIAA,7-9 Yrs,7,9,Not Disclosed,Pune,2,Naukri,4,529,"Data analysis, Predictive modeling, Data quality",Unknown,360000,1330000,0,Range (X-Y yrs)
Automation and Data analyst Professional,Volvo Group,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,18,Naukri,4.1,604,"Automation, C",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Foundever,4-9 Yrs,4,9,₹ 0.5 - 0.7L/yr,Chennai,11,Naukri,3.8,1700,"Power Bi, Dax, AWS",Salary Listed by Company,50000,70000,1,Range (X-Y yrs)
Consultant - Data Analyst,TransUnion Software Services Pvt. Ltd,4-8 Yrs,4,8,Not Disclosed,Mumbai,2,Naukri,4,320,"Bfsi, Analytical, Data collection",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,"PayPal Holdings, Inc.",3-6 Yrs,3,6,Not Disclosed,Hyderabad / Secunderabad,2,Naukri,3.9,813,"Computer science, Data analysis, Machine learning",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Energy & Sustainability,CBRE,5-10 Yrs,5,10,₹ 10 - 20L/yr,"Mumbai Suburbs, Mumbai, Mumbai",27,Naukri,4.2,3400,"Energy Management, Data Analysis, Energy Audit",Salary Listed by Company,1000000,2000000,1,Range (X-Y yrs)
Data Analyst,Wipro,2-4 Yrs,2,4,₹ 3 - 7.5L/yr (AmbitionBox estimate),Gurgaon / Gurugram,2,Naukri,3.8,41400,"Advance Excel, Power Bi, Data Analysis",Estimated by Ambition Box,300000,750000,1,Range (X-Y yrs)
Data Analyst,Magna Steyr,3-6 Yrs,3,6,Not Disclosed,Bangalore / Bengaluru,17,Naukri,4,560,"Supply chain, Data analysis, Data management",Unknown,360000,1330000,0,Range (X-Y yrs)
Sr. Lead Data Analyst,Airtel,8-12 Yrs,8,12,Not Disclosed,Gurgaon / Gurugram,10,Naukri,4,12200,"R, Tableau, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Analyst,Airtel,4-9 Yrs,4,9,Not Disclosed,Gurgaon / Gurugram,10,Naukri,4,12200,"R, Data Analysis, Data Visualization",Unknown,360000,1330000,0,Range (X-Y yrs)
"HCL Tech- Job Opening For Data analyst @ Hyderabad, Bangalore",HCLTech,6-10 Yrs,6,10,Not Disclosed,"Bangalore Rural, Hyderabad / Secunderabad",10,Naukri,3.6,30200,"ETL, SCM, data analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Nestle,2-5 Yrs,2,5,Not Disclosed,Gurgaon / Gurugram,24,Naukri,4.1,2000,"Automation, Natural Language Processing, Pandas",Unknown,360000,1330000,0,Range (X-Y yrs)
"Team Lead - Data Analyst, Category Marketing",Flipkart Internet Private Limited.,2-7 Yrs,2,7,₹ 2.5 - 8L/yr (AmbitionBox estimate),Bangalore / Bengaluru,11,Naukri,4,9600,"python, data analysis, data analytics",Estimated by Ambition Box,250000,800000,1,Range (X-Y yrs)
Lead Data Analyst,Conneqt Digital,10-15 Yrs,10,15,₹ 12 - 22L/yr,Bangalore / Bengaluru,2,Naukri,3.7,8000,"Data Analysis, Stakeholder management, Data Products",Salary Listed by Company,1200000,2200000,1,Range (X-Y yrs)
Data Analyst,Conneqt Digital,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,2,Naukri,3.7,8000,"merging, Data Analysis, Data cleansing",Unknown,1200000,2200000,0,Range (X-Y yrs)
JP Morgan Chase - Client Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4,6,Not Disclosed,Hyderabad / Secunderabad,28,iimjobs,4.1,5300,"KYC, AML, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Target Corporation India Pvt Ltd,2-4 Yrs,2,4,Not Disclosed,Bangalore / Bengaluru,16,Naukri,4.2,579,"Supply chain, Automation, SAP",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Infosys,4-9 Yrs,4,9,Not Disclosed,"Pune, Bangalore / Bengaluru, Bangalore Rural",19,Naukri,3.8,33500,"ETL, banking domain, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Reference Data Analyst,DEUTSCHE BANK AG,3-5 Yrs,3,5,₹ 4.7 - 6L/yr (AmbitionBox estimate),Jaipur,10,Naukri,4,2900,"derivatives, Excel, Swap",Estimated by Ambition Box,470000,600000,1,Range (X-Y yrs)
"Junior /Assistant Manager - Data Analyst, Variance I Mumbai",Parle,3-6 Yrs,3,6,Not Disclosed,Mumbai,10,Naukri,4,1400,"SAP, Data Analysis, Variance Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Executive QA- Data Analyst,Parle,2-5 Yrs,2,5,Not Disclosed,Mumbai,10,Naukri,4,1400,"SAP, Data Analysis, quality deviation",Unknown,360000,1330000,0,Range (X-Y yrs)
Power BI Microsoft - Executive / Data Analyst,Sone India Group Of Industries,2-6 Yrs,2,6,Not Disclosed,"New Delhi, Netaji subhash place",11,Naukri,4.8,51,"data cleansing, data analysis, Power BI",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Research Analyst,Morningstar India (P) Ltd.,4-7 Yrs,4,7,Not Disclosed,Mumbai,4,Naukri,3.9,928,"Automation, Corporate actions, Data management",Unknown,550000,800000,0,Range (X-Y yrs)
"SENIOR, DATA ANALYST",Walmart Labs,3-8 Yrs,3,8,₹ 3.35 - 30L/yr (AmbitionBox estimate),Bangalore / Bengaluru,24,Naukri,4,2100,"Data analysis, Automation, Data management",Estimated by Ambition Box,335000,3000000,1,Range (X-Y yrs)
Data Analyst,NextComm Corporation India,1-8 Yrs,1,8,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",30,Naukri,4.9,1200,"data mining, data cleansing, data analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
HSSE Q&R Data Analyst,SBM Offshore,6-9 Yrs,6,9,Not Disclosed,Bangalore / Bengaluru,5,Naukri,4.3,64,"Computer science, Usage, SAP",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,Guidehouse,3-6 Yrs,3,6,Not Disclosed,"Chennai, Thiruvananthapuram",4,Naukri,4,513,"Product management, Executive leadership, Change management",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Suryoday Small Finance Bank,1-5 Yrs,1,5,Not Disclosed,Navi Mumbai,9,Naukri,4.1,965,"Data Analysis, Data Analytics, Data Reporting",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Infosys,3-8 Yrs,3,8,Not Disclosed,Bangalore / Bengaluru,23,Naukri,3.8,33500,"HL7, HL, Fhir",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Scientist / Data Analyst,Siemens Limited,3-5 Yrs,3,5,₹ 5 - 9.8L/yr (AmbitionBox estimate),Panaji/Panjim,16,Naukri,4.2,4200,"Data analysis, Analytical, Machine learning",Estimated by Ambition Box,500000,980000,1,Range (X-Y yrs)
Sr Business Process Analyst (Sr Data Analyst- Hardware),Kronos Solutions India Pvt. Ltd.,6-11 Yrs,6,11,Not Disclosed,Noida,1,Naukri,3.6,459,"configuration management, technical support, it support",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,"PayPal Holdings, Inc.",2-7 Yrs,2,7,Not Disclosed,Bangalore / Bengaluru,12,Naukri,3.9,813,"SAS, Analytical, Finance",Unknown,360000,1330000,0,Range (X-Y yrs)
Urgent Opening !!!  Data Analyst - IIT/NIT /IIM Engineer/MBA,Angel One,4-8 Yrs,4,8,₹ 11 - 21L/yr,Mumbai,2,Naukri,3.9,1300,"Data Querying, Power BI, Data Analysis",Salary Listed by Company,1100000,2100000,1,Range (X-Y yrs)
Job || Lead Data Analyst || Wipro || Gurugram,Wipro Limited,5-10 Yrs,5,10,₹ 10 - 20L/yr,Gurgaon / Gurugram,11,Naukri,3.8,41400,"Data Analyst, Data Modeling, ETL",Salary Listed by Company,1000000,2000000,1,Range (X-Y yrs)
Data Analyst And MIS Lead For Gurgaon,Wipro Limited,3-8 Yrs,3,8,₹ 5 - 8.5L/yr,Gurgaon / Gurugram,11,Naukri,3.8,41400,"Google Sheets, Automation, Power Bi",Salary Listed by Company,500000,850000,1,Range (X-Y yrs)
"Data Analyst(Sql,SAS)",TELUS International,3-7 Yrs,3,7,Not Disclosed,Noida,10,Naukri,3.8,957,"Data Transformation, Metadata Management, SAS",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst 2,"PayPal Holdings, Inc.",3-8 Yrs,3,8,Not Disclosed,Chennai,13,Naukri,3.9,813,"Automation, Analytical, Finance",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Birlasoft,4-6 Yrs,4,6,Not Disclosed,"Gurgaon / Gurugram, India",5,Naukri,3.8,2400,"IICS, Postgresql, Pl Sql Procedures",Unknown,360000,1330000,0,Range (X-Y yrs)
Cimpress - HR Data Analyst (2-5 yrs),Cimpress India,2-5 Yrs,2,5,Not Disclosed,"Mumbai, Bangalore / Bengaluru",11,iimjobs,3.9,266,"HR Analytics, HR Operations, HR Jobs in IT/ITeS",Unknown,360000,1330000,0,Range (X-Y yrs)
SQL Developer (Data Analyst),Teleperformance (TP),4-9 Yrs,4,9,Not Disclosed,"Hyderabad / Secunderabad, Gurgaon / Gurugram",24,Naukri,3.8,23600,"T-SQL, SQL Development, SQL Queries",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Photon Infotech P Ltd,4-9 Yrs,4,9,Not Disclosed,"Chennai, Bangalore / Bengaluru",5,Naukri,4,1400,"data cleansing, Data analysis, SAS",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Analyst,Photon Infotech P Ltd,8-13 Yrs,8,13,Not Disclosed,"Chennai, Bangalore / Bengaluru",5,Naukri,4,1400,"Data analysis, SAS, Data management",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst SAS,GRANT THORNTON BHARAT LLP,5-10 Yrs,5,10,Not Disclosed,"Bangalore / Bengaluru, Kolkata",2,Naukri,3.7,708,"excel, credit risk management, model validation",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Associate - Data Scientist,Pricewaterhouse Coopers Private Limited,2-5 Yrs,2,5,Not Disclosed,Gurgaon / Gurugram,17,Naukri,3.5,7500,"Data analysis, Data modeling, Analytical",Unknown,600000,1746000,0,Range (X-Y yrs)
Reference Data Analyst,Deutsche Bank,1-5 Yrs,1,5,Not Disclosed,Jaipur,17,Naukri,4,2900,"SSI, Swift Messaging, Trade Settlements",Unknown,360000,1330000,0,Range (X-Y yrs)
Statistical Data Analyst,Altimetrik,6-11 Yrs,6,11,Not Disclosed,Bangalore / Bengaluru,4,Naukri,3.8,882,"Regression, Ab Testing, Hypothesis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - HR,JSW Steel,8-13 Yrs,8,13,Not Disclosed,Navi Mumbai,19,Naukri,4,4900,"Data Analytics, HR Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Nxtwave Disruptive Technologies,1-4 Yrs,1,4,Not Disclosed,Hyderabad / Secunderabad,1,Naukri,3.9,494,"Excel, Power Bi, Bigquery",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,MSCI,0-3 Yrs,0,3,Not Disclosed,Mumbai,3,Naukri,4.1,221,"Unix, Financial statements, Manager Quality Assurance",Unknown,340000,1200000,0,Range (X-Y yrs)
Index Input Data Analyst,MSCI,1-2 Yrs,1,2,₹ 3.4 - 12L/yr (AmbitionBox estimate),Mumbai,3,Naukri,4.1,221,"Data analysis, Automation, Manager Quality Assurance",Estimated by Ambition Box,340000,1200000,1,Range (X-Y yrs)
Corporate Events Data Analyst,MSCI,1-2 Yrs,1,2,₹ 3.4 - 12L/yr (AmbitionBox estimate),Mumbai,3,Naukri,4.1,221,"CVS, Corporate actions, Networking",Estimated by Ambition Box,340000,1200000,1,Range (X-Y yrs)
Data Analyst (SQL+Tableau) - AVP,Deutsche Bank,10-16 Yrs,10,16,Not Disclosed,Jaipur,18,Naukri,4,2900,"Data Engineering, SQL Development, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Azure Data Analyst || Product Based MNC (Direct Payroll) || Kolkata,Digital Aptech,4-8 Yrs,4,8,₹ 7 - 16L/yr,Kolkata,9,Naukri,4.5,107,"Data Management, ETL Tool, SQL Azure",Salary Listed by Company,700000,1600000,1,Range (X-Y yrs)
Data Analyst,Angel One,2-5 Yrs,2,5,₹ 17 - 25L/yr,Mumbai,5,Naukri,3.9,1300,"python, Power Bi, Tableau",Salary Listed by Company,1700000,2500000,1,Range (X-Y yrs)
Data Analyst,Synechron,5-14 Yrs,5,14,Not Disclosed,Mumbai,8,Naukri,3.6,2500,"Data analysis, Data modeling, Underwriting",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst- Graphic Designer,Genpact,1-6 Yrs,1,6,₹ 2 - 6L/yr,Noida,30,Naukri,3.9,27000,"Print Design, Illustrator, Graphic Designing",Salary Listed by Company,200000,600000,1,Range (X-Y yrs)
upGrad - Data Analyst - CRM (5-8 yrs),upgrad,5-8 Yrs,5,8,Not Disclosed,Bangalore / Bengaluru,3,iimjobs,3.8,1600,"Analytics, Data Analytics, Web Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
EDA Data Analyst,NXP Semiconductors,6-8 Yrs,6,8,Not Disclosed,Bangalore / Bengaluru,12,Naukri,3.9,208,"Automation, Data analysis, Linux",Unknown,360000,1330000,0,Range (X-Y yrs)
Looking Manager - MIS &Data Analyst based- Lowerparel-Immediate Joiner,Anand Rathi Insurance Brokers (ARIBL),3-8 Yrs,3,8,₹ 3.5 - 8.5L/yr,Mumbai,3,Naukri,4.2,61,"MIS report, MIS Operations, VLOOKUP",Salary Listed by Company,350000,850000,1,Range (X-Y yrs)
Senior Data Security Engineer (Data Analyst along with Power BI),Kronos Solutions India Pvt. Ltd.,5-8 Yrs,5,8,Not Disclosed,Noida,6,Naukri,3.6,459,"R, NoSQL, GCP BQ",Unknown,360000,1330000,0,Range (X-Y yrs)
Hr Data Analyst,Yash Technologies,2-5 Yrs,2,5,Not Disclosed,Hyderabad / Secunderabad,9,Naukri,3.8,1400,"HR MIS, People Analytics, Power Bi",Unknown,360000,1330000,0,Range (X-Y yrs)
Marketing Ops Analyst,Target Corporation India Pvt Ltd,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,26,Naukri,4.2,579,"Career development, Change management, metadata",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Aster DM Healthcare,4-8 Yrs,4,8,Not Disclosed,Gurgaon / Gurugram,13,Naukri,3.8,366,"Data Science, Predictive Modeling, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,"PayPal Holdings, Inc.",4-6 Yrs,4,6,Not Disclosed,Chennai,18,Naukri,3.9,813,"Analytical, Finance, Commerce",Unknown,360000,1330000,0,Range (X-Y yrs)
"Data Analyst(ETL, DWH , SQL Developer) with Hexaware Technologies",Hexaware Technologies,4-9 Yrs,4,9,Not Disclosed,"Chennai, Pune, Bangalore / Bengaluru",12,Naukri,3.6,5000,"Etl Development, Data Warehousing, Dwh Implementation",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Realpage,2-4 Yrs,2,4,₹ 6 - 9L/yr (AmbitionBox estimate),Hyderabad / Secunderabad,5,Naukri,3.7,412,"Finance, Data Analysis, Advanced Excel",Estimated by Ambition Box,600000,900000,1,Range (X-Y yrs)
Indium Software - Data Analyst - R/Python (1-5 yrs),Indium Software,1-5 Yrs,1,5,Not Disclosed,"Bangalore / Bengaluru, Hyderabad / Secunderabad",13,hirist,4.1,698,"Data Analyst, Data Analytics, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst 2,upGrad,3-5 Yrs,3,5,Not Disclosed,Bangalore Rural,5,Naukri,3.8,1600,"Google Analytics, Data Analysis, Data Extraction",Unknown,360000,1330000,0,Range (X-Y yrs)
Financial MIS and Data Analyst,Sub K IMAPCT Solutions Limited,3-8 Yrs,3,8,Not Disclosed,Hyderabad / Secunderabad,8,Naukri,4.1,231,"Financial Analytics, MIS, Data Modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,Digital Aptech,4-8 Yrs,4,8,₹ 7 - 16L/yr,Kolkata,13,Naukri,4.5,107,"Data Management, ETL Tool, Data Warehousing Concepts",Salary Listed by Company,700000,1600000,1,Range (X-Y yrs)
Business Analyst,Chubb,7-10 Yrs,7,10,Not Disclosed,Bangalore / Bengaluru,10,Naukri,3.8,128,"Computer science, Data analysis, Data validation",Unknown,1350000,2000000,0,Range (X-Y yrs)
Data Analyst (Remote),Firstsource,1-5 Yrs,1,5,₹ 7 - 14L/yr,Chennai,16,Naukri,3.8,4100,"Data Validation, Power Bi, Snowflake",Salary Listed by Company,700000,1400000,1,Range (X-Y yrs)
Data Analyst & Report Designer - TRAI,National Institute for Smart Government (NISG),5-10 Yrs,5,10,₹ 5.05 - 10.6L/yr (AmbitionBox estimate),New Delhi,4,Naukri,3.8,183,"Data Analysis, Cleaning, Data Processing",Estimated by Ambition Box,505000,1060000,1,Range (X-Y yrs)
Mondelez International - Global Procurement Insights Visualization Lead - QlikSense/Tableau/Power BI (8-14 yrs),Mondelez india foods private limited,8-14 Yrs,8,14,Not Disclosed,Mumbai,30,hirist,4.4,895,"Data Visualization, Data Analytics, Power BI",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst (Azure),"Redpine Signals, Inc.",5-8 Yrs,5,8,Not Disclosed,Hyderabad / Secunderabad,3,Naukri,4.6,19,"Wireless, Computer science, MS SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/MIS Analyst For Hyderabad-Immediate joiners only,Wipro,3-6 Yrs,3,6,₹ 5 - 8L/yr,Hyderabad / Secunderabad,18,Naukri,3.8,41400,"Big Query, Power Bi, Scripts",Salary Listed by Company,500000,800000,1,Range (X-Y yrs)
Senior Data Analyst,Teleperformance (TP),5-8 Yrs,5,8,Not Disclosed,Mumbai,30,Naukri,3.8,23600,"Hive, Data Visualization, Spark",Unknown,360000,1330000,0,Range (X-Y yrs)
Looker Developer - Data Analyst,Renault Nissan Technology  Business Centre IndiaPvt.Ltd,2-5 Yrs,2,5,Not Disclosed,Chennai,12,Naukri,3.9,1400,"Data analysis, metadata, Usage",Unknown,360000,1330000,0,Range (X-Y yrs)
ADAS Data Analyst_Engineer,Renault Nissan Technology  Business Centre IndiaPvt.Ltd,3-6 Yrs,3,6,Not Disclosed,Chennai,12,Naukri,3.9,1400,"Usage, tableau, GIT",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,"PayPal Holdings, Inc.",3-6 Yrs,3,6,Not Disclosed,Bangalore / Bengaluru,20,Naukri,3.9,813,"Data analysis, Analytical, Manager Technology",Unknown,360000,1330000,0,Range (X-Y yrs)
