Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
TBO - Senior Data Analyst (12-22 yrs),TBO.COM,12-22 Yrs,12,22,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Data Analytics, Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Lead Data Analyst,Arting Digital,4-7 Yrs,4,7,Not Disclosed,Bangalore / Bengaluru,30,Naukri,4.8,27,"Data analysis, Business intelligence, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,OneMagnify,5-10 Yrs,5,10,₹ 14.7 - 15L/yr (AmbitionBox estimate),Chennai,11,Naukri,4,17,"customer analytics, data analysis, data manipulation",Estimated by Ambition Box,1470000,1500000,1,Range (X-Y yrs)
Better - Senior Data Analyst (3-7 yrs),BMTG Advisors India Private Limited,3-7 Yrs,3,7,Not Disclosed,Gurgaon / Gurugram,30,iimjobs,3,725,"Data Analytics, Analytics, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
PhysicsWallah - Regional Analyst - Python/Data Visualization (2-3 yrs),PhysicsWallah,2-3 Yrs,2,3,Not Disclosed,Bangalore / Bengaluru,60,hirist,3.8,1200,"Python, Data Visualization, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,ADA TECH SOLUTIONS PRIVATE LIMITED,3-5 Yrs,3,5,₹ 0.5 - 0.7L/yr,Nashik,30,Naukri,3.3,47,business needs/requirements and recommend solutions.,Salary Listed by Company,50000,70000,1,Range (X-Y yrs)
Data Quality Analyst,Bigtapp Analytics,3-6 Yrs,3,6,Not Disclosed,Chennai,9,Naukri,4.3,7,"Root Cause Analysis, Data analyst, AI/ML Testing",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/ Content Management,S&P Capital IQ (India) Pvt. Ltd,0-1 Yrs,0,1,Not Disclosed,Ahmedabad,330,First Naukri,4.2,2200,"Content Management, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst_Ahmedabad,S&P Capital IQ (India) Pvt. Ltd,0-1 Yrs,0,1,Not Disclosed,Ahmedabad,330,First Naukri,4.2,2200,Data Analysis,Unknown,360000,1330000,0,Range (X-Y yrs)
Technical Lead,Chubb,2-5 Yrs,2,5,Not Disclosed,"Nizamabad, Warangal, Hyderabad / Secunderabad",60,Naukri,3.8,128,"SQL queries, Data analysis, Analytical",Unknown,1350000,2000000,0,Range (X-Y yrs)
Senior Software Engineer,Chubb,4-8 Yrs,4,8,₹ 13.5 - 20L/yr (AmbitionBox estimate),"Nizamabad, Warangal, Hyderabad / Secunderabad",60,Naukri,3.8,128,"SQL queries, Data analysis, Analytical",Estimated by Ambition Box,1350000,2000000,1,Range (X-Y yrs)
Supply Chain Data Analyst,Simpli Home Ltd.,2-4 Yrs,2,4,Not Disclosed,India,18,Naukri,4.1,5,"Business Intelligence, Data Analysis, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst (Tech BA + Banking),Bigtapp Analytics,5-8 Yrs,5,8,Not Disclosed,Chennai,10,Naukri,4.3,7,"Banking Domain, Business Data Analyst, Data Analysis",Unknown,360000,1330000,0,Range (X-Y yrs)
Droom -  Data Analyst - Data Science (1-4 yrs),Droom Technology (P) Ltd,1-4 Yrs,1,4,Not Disclosed,Gurgaon / Gurugram,30,iimjobs,3.5,153,"Data Analytics, Data Science, Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Reporting Analytics & Dashboard (6-12 yrs),HEPL - A Cavinkare Group Company(Consultant),6-12 Yrs,6,12,Not Disclosed,Jaipur,27,hirist,3.9,106,"Data Analytics, SQL, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
HEPL - Senior Data Analyst (6-12 yrs),HEPL - A Cavinkare Group Company,6-12 Yrs,6,12,Not Disclosed,Jaipur,27,iimjobs,3.9,106,"Data Analytics, Data Management, Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst  - Mohammed Enterprises Tanzania Ltd (METL)- Dubai,Mohammed Enterprises Tanzania Ltd (metl),2-6 Yrs,2,6,Not Disclosed,Dubai/Uae,18,Naukri,3.8,57,"Financial Analysis, erp, Financial Reporting",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - SQL/Python (3-5 yrs),Programming.com,3-5 Yrs,3,5,Not Disclosed,Bangalore / Bengaluru,14,hirist,3.4,7,"Data Analyst, Data Analytics, Tableau",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Python/Pyspark/SQL - Insurance (4-6 yrs),Huquo Consulting,4-6 Yrs,4,6,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Analytics, Data Analytics, Data Science",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst/Senior Data Analyst - SQL/Tableau (3-9 yrs),Huquo Consulting,3-9 Yrs,3,9,Not Disclosed,Gurgaon / Gurugram,2,hirist,3.8,14,"Data Analyst, Data Analytics, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Assistant Manager - Data Analyst (3-6 yrs),HuQuo Consulting Pvt. Ltd.,3-6 Yrs,3,6,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Data Analytics, Data Visualization, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Manager/Senior Data Analyst - Consulting Firm (5-8 yrs),HuQuo Consulting Pvt. Ltd.,5-8 Yrs,5,8,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Analytics, Data Analytics, Big Data",Unknown,360000,1330000,0,Range (X-Y yrs)
Clinical Data Analyst - Epic System (3-6 yrs),Huquo,3-6 Yrs,3,6,Not Disclosed,"Hyderabad / Secunderabad, Pune, Gurgaon / Gurugram",2,hirist,3.8,14,"Clinical Data Management, Clinical SAS, Data Analyst",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Workforce Management - Aspects/Alavaria (3-8 yrs),Huquo Consulting,3-8 Yrs,3,8,Not Disclosed,Gurgaon / Gurugram,2,iimjobs,3.8,14,"Analytics, Statistics, Data Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Power BI/SQL (1-3 yrs),Huquo Consulting,1-3 Yrs,1,3,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Analytics, Data Analytics, Business Intelligence",Unknown,360000,1330000,0,Range (X-Y yrs)
Business Analyst/Data Analyst (3-7 yrs),Huquo Consulting,3-7 Yrs,3,7,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Data Analytics, Analytics, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
Assistant Manager/Lead Assistant Manager - Data Analytics (3-7 yrs),HuQuo Consulting Pvt. Ltd.,3-7 Yrs,3,7,Not Disclosed,Gurgaon / Gurugram,2,hirist,3.8,14,"Python, SQL, R",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Altreyx & SQL - Acturial Team (1-6 yrs),Huquo Consulting,1-6 Yrs,1,6,Not Disclosed,Delhi ncr,2,iimjobs,3.8,14,"Analytics, Data Analytics, SQL",Unknown,360000,1330000,0,Range (X-Y yrs)
